kode_negara,jumlah_koloni,produksi_madu_per_koloni,total_produksi,stok(pon),harga_per_pon,nilai_total_produksi
AL,8000.0,54,432000.0,65000.0,2.47,1067000.0
AZ,22000.0,46,1012000.0,253000.0,1.79,1811000.0
AR,25000.0,63,1575000.0,189000.0,1.98,3119000.0
CA,330000.0,35,11550000.0,3119000.0,1.94,22407000.0
CO,25000.0,48,1200000.0,468000.0,2.07,2484000.0
FL,193000.0,64,12352000.0,1235000.0,1.84,22728000.0
GA,59000.0,51,3009000.0,181000.0,1.92,5777000.0
HI,10000.0,75,750000.0,263000.0,4.15,3113000.0
ID,92000.0,32,2944000.0,530000.0,1.63,4799000.0
IL,7000.0,61,427000.0,145000.0,3.55,1516000.0
IN,8000.0,59,472000.0,203000.0,2.54,1199000.0
IA,37000.0,61,2257000.0,1196000.0,2.17,4898000.0
KS,6000.0,55,330000.0,125000.0,2.28,752000.0
KY,5000.0,51,255000.0,41000.0,3.15,803000.0
LA,41000.0,86,3526000.0,141000.0,1.83,6453000.0
ME,4000.0,34,136000.0,24000.0,2.39,325000.0
MI,73000.0,57,4161000.0,1332000.0,2.03,8447000.0
MN,125000.0,67,8375000.0,1591000.0,1.92,16080000.0
MS,18000.0,118,2124000.0,64000.0,1.77,3759000.0
MO,7000.0,53,371000.0,108000.0,2.8,1039000.0
MT,145000.0,52,7540000.0,2413000.0,1.95,14703000.0
NE,43000.0,65,2795000.0,1146000.0,1.93,5394000.0
NJ,14000.0,33,462000.0,51000.0,1.97,910000.0
NM,5000.0,52,260000.0,99000.0,3.39,881000.0
NY,51000.0,51,2601000.0,988000.0,2.23,5800000.0
NC,13000.0,39,507000.0,106000.0,3.76,1906000.0
ND,480000.0,69,33120000.0,5962000.0,1.92,63590000.0
OH,18000.0,60,1080000.0,410000.0,2.46,2657000.0
OR,60000.0,32,1920000.0,845000.0,2.16,4147000.0
PA,16000.0,60,960000.0,269000.0,2.57,2467000.0
SD,260000.0,63,16380000.0,3604000.0,1.95,31941000.0
TN,6000.0,61,366000.0,59000.0,2.93,1072000.0
TX,92000.0,52,4784000.0,718000.0,2.0,9568000.0
UT,25000.0,38,950000.0,209000.0,1.87,1777000.0
VT,4000.0,60,240000.0,53000.0,2.39,574000.0
VA,4000.0,41,164000.0,23000.0,3.77,618000.0
WA,62000.0,41,2542000.0,1017000.0,2.38,6050000.0
WV,6000.0,48,288000.0,95000.0,2.91,838000.0
WI,60000.0,69,4140000.0,1863000.0,2.05,8487000.0
WY,50000.0,51,2550000.0,459000.0,1.87,4769000.0
